participant,observed_acf,shuffled_mean,shuffled_sd,lower_2.5,upper_97.5,p_two_sided
K1A,0.18549389486872991,0.002069110135218752,0.1327903541490744,-0.25274104397422936,0.25735481250731557,0.17
K2A,0.5973330553185071,0.0015065375172739703,0.09597796415061914,-0.1908548808673246,0.1826290408868283,0
K3A,0.2353415992025216,-1.213413034735932e-4,0.14590045039659644,-0.2877880704224259,0.2786148131987483,0.102
K4A,0.1992914248386515,0.0027833779258235936,0.13945304889708834,-0.2748894738257978,0.27530271603202616,0.156
K5A,0.44203138418219107,-0.004862973479160368,0.11220880174169791,-0.2150346077594333,0.21666582661696335,0
K6A,0.6132256421726302,0.005426205403313555,0.10785278143777094,-0.20233615936965677,0.21312833435084466,0
